Auctiuon_key,Rent_class,Purpose_use,Occupied_part,Rent_date,Rent_deposit,Rent_monthly_price
1,move in,residence,201No.all,2007-09-14 00:00:00,53000000,250000
2,move in,residence,room3,2008-06-27 00:00:00,60000000,0
2,occupation,residence,202No.,1111-11-11 00:00:00,0,0
3,occupation,residence,201No.,1111-11-11 00:00:00,0,0
3,move in,residence,201No.,2007-01-08 00:00:00,0,0
4,move in,residence,205No.,2014-09-15 00:00:00,0,0
4,occupation,residence,nan,1111-11-11 00:00:00,0,0
4,occupation,residence,nan,1111-11-11 00:00:00,0,0
7,move in,residence,room1,2010-12-06 00:00:00,50000000,0
8,move in,residence,1101No.all,2006-04-16 00:00:00,205000000,0
9,move in,residence,all,2012-07-18 00:00:00,240000000,0
10,move in,,nan,2011-05-23 00:00:00,0,0
10,occupation,residence,nan,1111-11-11 00:00:00,0,0
10,move in,,nan,2011-04-29 00:00:00,0,0
10,move in,residence,all,2011-04-20 00:00:00,280000000,0
10,move in,residence,nan,2013-08-21 00:00:00,0,0
10,move in,,nan,2011-03-15 00:00:00,0,0
10,move in,residence,nan,2013-11-13 00:00:00,0,0
10,move in,,nan,2011-06-20 00:00:00,0,0
10,move in,,nan,2011-05-13 00:00:00,0,0
10,move in,,nan,2011-04-22 00:00:00,0,0
10,move in,residence,nan,2013-09-04 00:00:00,0,0
10,move in,,nan,2011-10-31 00:00:00,0,0
10,move in,,nan,2011-04-07 00:00:00,0,0
10,move in,,nan,2011-07-04 00:00:00,0,0
10,occupation,residence,nan,1111-11-11 00:00:00,30000000,1200000
10,occupation,residence,nan,1111-11-11 00:00:00,0,0
10,move in,,nan,2011-07-01 00:00:00,0,0
10,move in,,nan,2011-04-26 00:00:00,0,0
10,move in,,nan,2011-08-22 00:00:00,0,0
10,move in,,nan,2011-08-10 00:00:00,0,0
10,move in,residence,704No.,2011-08-10 00:00:00,0,0
10,occupation,residence,nan,1111-11-11 00:00:00,0,0
10,move in,residence,nan,2011-04-14 00:00:00,0,0
10,move in,residence,all,2011-04-14 00:00:00,350000000,0
10,move in,,nan,2011-05-12 00:00:00,0,0
10,move in,,nan,2011-08-31 00:00:00,0,0
10,move in,,nan,2011-05-17 00:00:00,0,0
11,move in,residence,room2,2007-02-09 00:00:00,120000000,0
12,move in,residence,nan,2007-11-28 00:00:00,0,0
15,move in,residence,nan,2011-06-30 00:00:00,0,0
15,move in,residence,2202No.,2011-06-30 00:00:00,650000000,0
16,move in,residence,nan,2003-12-13 00:00:00,0,0
18,move in,residence,nan,2002-12-24 00:00:00,0,0
18,move in,residence,nan,2011-10-31 00:00:00,0,0
20,move in,residence,nan,2005-09-06 00:00:00,0,0
21,move in,residence,nan,2014-02-06 00:00:00,650000000,0
23,move in,residence,all,2010-10-08 00:00:00,800000000,0
25,move in,residence,all,2014-11-06 00:00:00,200000000,0
27,occupation,residence,nan,1111-11-11 00:00:00,0,0
30,move in,residence,2605No.,2000-12-19 00:00:00,0,0
30,move in,residence,partroom1,2015-01-07 00:00:00,30000000,0
31,move in,residence,502No.,2014-04-25 00:00:00,0,0
31,move in,residence,502No.,2013-06-27 00:00:00,0,0
31,move in,residence,502No.,2012-04-06 00:00:00,0,0
33,move in,residence,nan,2014-08-27 00:00:00,0,0
35,move in,residence,allroom2,2009-09-01 00:00:00,20000000,650000
36,move in,residence,nan,2004-01-17 00:00:00,0,0
39,move in,residence,nan,2008-11-04 00:00:00,0,0
40,move in,residence,901No.,2007-06-19 00:00:00,190000000,0
41,occupation,office,801No.,1111-11-11 00:00:00,0,0
41,move in,,nan,2014-10-13 00:00:00,0,0
43,move in,residence,nan,2015-05-04 00:00:00,0,0
45,move in,residence,all,2013-01-04 00:00:00,0,0
46,move in,residence,all,2014-02-26 00:00:00,50000000,2400000
49,move in,residence,all,2013-05-21 00:00:00,0,0
51,move in,residence,all,2011-02-24 00:00:00,460000000,0
54,move in,residence,all,2012-11-26 00:00:00,220000000,0
55,move in,residence,nan,2006-03-02 00:00:00,600000000,0
56,move in,residence,partroom1,2014-12-12 00:00:00,90000000,0
56,move in,residence,partroom1,2014-05-21 00:00:00,90000000,0
57,move in,residence,nan,1997-04-08 00:00:00,0,0
58,move in,residence,all,2008-12-31 00:00:00,190000000,0
59,move in,residence,101building202No.,2001-08-21 00:00:00,0,0
59,move in,residence,nan,2013-11-14 00:00:00,200000000,0
62,move in,residence,all,2014-07-25 00:00:00,420000000,0
63,move in,residence,1406No.,2010-08-19 00:00:00,0,0
64,move in,residence,all,2011-07-04 00:00:00,250000000,0
65,move in,residence,1405No.all,2013-10-15 00:00:00,400000000,0
67,move in,residence,1floor101No.,2014-01-24 00:00:00,600000000,0
67,move in,residence,nan,1991-08-23 00:00:00,0,0
70,occupation,residence,102No.,1111-11-11 00:00:00,10000000,500000
70,move in,residence,102No.,2008-04-04 00:00:00,0,0
70,move in,residence,102No.,2015-08-20 00:00:00,10000000,500000
71,move in,residence,partroom1,2015-02-12 00:00:00,100000000,0
73,move in,residence,room3,2014-03-04 00:00:00,25000000,0
73,move in,residence,room2,2014-03-04 00:00:00,25000000,500000
76,move in,residence,304building204No.,2015-07-10 00:00:00,200000000,4000000
76,occupation,residence,all,1111-11-11 00:00:00,1400000000,0
81,move in,residence,13floor1305No.,2011-11-25 00:00:00,300000000,0
82,move in,residence,all,2015-07-28 00:00:00,2300000000,0
84,move in,residence,all,2014-07-30 00:00:00,500000000,0
88,move in,residence,205No.,2015-02-06 00:00:00,480000000,0
89,move in,residence,all,2015-04-07 00:00:00,600000000,0
90,move in,residence,1401No.,2012-02-03 00:00:00,0,0
90,move in,residence,2floorroom1(on status document:1401No.),2015-05-18 00:00:00,30000000,0
91,move in,residence,all,2006-12-19 00:00:00,145000000,0
93,move in,residence,all,2013-02-27 00:00:00,1400000000,0
95,move in,residence,part,2013-04-16 00:00:00,0,0
97,move in,residence,room1,2015-10-19 00:00:00,25000000,0
100,move in,residence,701No.,2014-11-14 00:00:00,500000000,0
101,move in,residence,all,2013-12-05 00:00:00,770000000,0
106,move in,residence,nan,2014-09-04 00:00:00,0,0
107,occupation,residence,nan,1111-11-11 00:00:00,320000000,0
110,move in,residence,5801No.,2015-07-17 00:00:00,0,0
110,move in,residence,"5801No.,5802No.",2015-07-17 00:00:00,3800000000,0
114,move in,residence,nan,2003-07-22 00:00:00,0,0
116,move in,residence,nan,2003-11-25 00:00:00,0,0
118,move in,residence,509No.,2009-03-17 00:00:00,180000000,0
118,move in,residence,nan,2015-10-06 00:00:00,0,0
119,move in,residence,107No.all,2011-07-15 00:00:00,390000000,0
119,move in,residence,nan,2011-07-22 00:00:00,0,0
120,move in,residence,nan,2015-01-23 00:00:00,0,0
122,move in,residence,all,2015-08-13 00:00:00,50000000,2300000
122,move in,residence,nan,2011-10-31 00:00:00,0,0
122,move in,residence,all,2015-08-13 00:00:00,50000000,2300000
126,move in,residence,nan,2015-05-07 00:00:00,0,0
128,move in,residence,all,2012-04-03 00:00:00,280000000,0
130,move in,residence,all,2008-05-09 00:00:00,280000000,0
131,move in,residence,nan,2006-04-03 00:00:00,300000000,0
131,move in,residence,room1,2013-01-16 00:00:00,60000000,0
136,move in,residence,3102No.all,2012-02-28 00:00:00,370000000,0
137,move in,residence,all,2015-02-12 00:00:00,750000000,0
138,move in,residence,nan,2008-10-02 00:00:00,0,0
139,move in,residence,203No.room3,2010-12-01 00:00:00,60000000,0
140,move in,residence,on ID102No.,2011-09-19 00:00:00,0,0
140,move in,residence,on ID102No.,2015-01-26 00:00:00,0,0
140,move in,residence,102No.all,2015-01-16 00:00:00,35000000,1800000
140,move in,residence,on ID102No.,2015-01-16 00:00:00,0,0
140,move in,residence,on ID102No.,2015-01-16 00:00:00,0,0
140,move in,residence,on ID102No.,2015-01-16 00:00:00,0,0
140,move in,residence,on ID102No.,2015-01-16 00:00:00,0,0
141,move in,residence,nan,2008-07-15 00:00:00,0,0
141,move in,residence,all,2008-07-15 00:00:00,160000000,0
142,move in,residence,nan,1997-09-19 00:00:00,0,0
144,move in,residence,402No.,2008-02-22 00:00:00,340000000,0
145,move in,residence,502No.,2012-08-27 00:00:00,500000000,0
147,move in,residence,all,2012-02-01 00:00:00,165000000,0
148,move in,,nan,2013-07-19 00:00:00,250000000,0
149,move in,residence,302No.,2015-06-10 00:00:00,0,0
150,move in,residence,nan,2001-12-29 00:00:00,0,0
150,move in,residence,room1,2011-07-11 00:00:00,50000000,0
151,move in,residence,all,2014-02-28 00:00:00,630000000,0
152,move in,residence,403No.all,2011-04-05 00:00:00,310000000,0
153,move in,residence,1203No.,2012-06-15 00:00:00,0,0
154,move in,residence,508No.,2013-08-30 00:00:00,100000000,0
160,move in,residence,room1,2015-12-21 00:00:00,35000000,0
160,move in,residence,room1,2015-12-21 00:00:00,40000000,0
161,move in,residence,nan,2015-04-20 00:00:00,0,0
161,move in,residence,1704No.all,2015-04-20 00:00:00,450000000,0
162,move in,residence,nan,2005-12-13 00:00:00,0,0
165,move in,residence,all,2012-12-07 00:00:00,0,0
165,move in,residence,room4,2012-12-07 00:00:00,380000000,0
166,move in,residence,nan,2015-10-26 00:00:00,0,0
169,move in,residence,all,2011-09-23 00:00:00,200000000,0
170,move in,residence,103No.,2014-04-29 00:00:00,40000000,0
171,move in,residence,room1,2015-12-18 00:00:00,40000000,200000
175,move in,residence,nan,2006-10-02 00:00:00,0,0
176,move in,residence,104No.,2015-11-03 00:00:00,0,0
176,move in,residence,104No.,2014-05-07 00:00:00,200000000,1000000
180,move in,residence,all,2014-02-19 00:00:00,390000000,0
181,move in,residence,nan,1996-07-23 00:00:00,0,0
182,move in,residence,nan,2011-05-20 00:00:00,0,0
182,move in,residence,nan,2015-05-21 00:00:00,0,0
190,move in,residence,301No.all,2015-04-30 00:00:00,50000000,2450000
192,move in,residence,nan,2015-04-03 00:00:00,0,0
192,move in,residence,all,2012-02-27 00:00:00,280000000,0
194,move in,residence,nan,2015-04-23 00:00:00,150000000,0
198,move in,residence,nan,2015-08-13 00:00:00,0,0
198,move in,residence,all,2015-08-13 00:00:00,100000000,3000000
201,move in,residence,nan,2001-12-15 00:00:00,0,0
202,move in,residence,nan,2014-05-01 00:00:00,0,0
203,move in,residence,nan,2003-03-31 00:00:00,0,0
204,move in,residence,301No.,2014-12-11 00:00:00,750000000,0
205,move in,residence,nan,2015-03-06 00:00:00,200000000,600000
206,move in,residence,all,2015-04-27 00:00:00,1600000000,0
211,move in,residence,nan,1994-05-25 00:00:00,200000000,0
212,move in,residence,302No.all,2014-07-31 00:00:00,50000000,0
213,move in,residence,nan,2008-03-06 00:00:00,0,0
214,move in,residence,nan,2009-03-10 00:00:00,0,0
220,move in,residence,601No.,2014-01-20 00:00:00,999000000,0
221,occupation,residence,nan,1111-11-11 00:00:00,0,0
222,move in,residence,nan,2016-05-30 00:00:00,0,0
224,move in,residence,602No.,2016-03-11 00:00:00,0,0
225,move in,residence,nan,2012-01-13 00:00:00,0,0
226,move in,residence,nan,2006-12-21 00:00:00,0,0
227,move in,residence,all,2014-07-14 00:00:00,400000000,0
234,move in,residence,nan,2011-10-19 00:00:00,0,0
235,occupation,residence,nan,1111-11-11 00:00:00,0,0
237,move in,residence,Abuilding2202No.,2012-06-28 00:00:00,0,0
240,move in,residence,nan,2013-11-20 00:00:00,300000000,0
240,move in,residence,nan,2016-07-26 00:00:00,0,0
241,move in,residence,room2,2016-01-07 00:00:00,25000000,0
242,move in,residence,nan,2006-11-29 00:00:00,0,0
243,move in,residence,all,2012-01-02 00:00:00,290000000,0
247,occupation,residence,302No.,1111-11-11 00:00:00,0,0
248,move in,residence,1503No.,2014-04-23 00:00:00,710000000,0
250,move in,residence,1403No.,2015-01-22 00:00:00,0,0
252,move in,residence,all,2011-11-21 00:00:00,190000000,0
254,move in,residence,all,2014-05-27 00:00:00,750000000,0
256,move in,residence,603No.part(room2unit),2010-05-18 00:00:00,0,0
260,move in,residence,allroom4,2014-02-04 00:00:00,500000000,0
263,move in,residence,nan,2013-04-23 00:00:00,0,0
267,move in,residence,nan,2009-07-28 00:00:00,0,0
269,move in,residence,nan,2012-11-23 00:00:00,0,0
270,move in,residence,nan,2016-09-22 00:00:00,0,0
270,move in,residence,nan,2016-09-05 00:00:00,0,0
270,move in,residence,nan,2013-08-05 00:00:00,0,0
270,move in,residence,nan,2016-09-22 00:00:00,0,0
271,move in,residence,all,2013-11-28 00:00:00,560000000,0
274,move in,residence,nan,2002-07-27 00:00:00,0,0
274,move in,residence,all,2002-07-27 00:00:00,100000000,0
275,move in,residence,all,2015-05-07 00:00:00,645000000,0
276,move in,residence,nan,2009-03-23 00:00:00,0,0
276,move in,residence,nan,2015-09-04 00:00:00,50000000,1400000
281,move in,residence,413No.,2016-06-07 00:00:00,180000000,0
283,move in,residence,1101No.,2011-12-23 00:00:00,0,0
283,move in,residence,1101No.,2011-12-23 00:00:00,275000000,0
284,move in,,nan,2013-06-10 00:00:00,600000000,0
286,move in,residence,nan,2013-02-19 00:00:00,0,0
286,move in,residence,all,2013-02-19 00:00:00,50000000,1850000
288,move in,residence,101No.,2003-08-14 00:00:00,0,0
289,move in,residence,all,2001-01-07 00:00:00,100000000,0
290,move in,residence,all,2012-08-22 00:00:00,400000000,0
292,move in,residence,nan,2015-01-30 00:00:00,0,0
292,move in,residence,nan,2012-04-20 00:00:00,0,0
293,move in,residence,all,2015-12-29 00:00:00,300000000,0
294,move in,residence,nan,2011-03-21 00:00:00,0,0
295,move in,residence,all,2015-10-04 00:00:00,50000000,1500000
296,move in,residence,all,2007-04-09 00:00:00,320000000,0
298,move in,residence,nan,2015-10-27 00:00:00,470000000,0
300,move in,residence,403No.,2015-01-28 00:00:00,850000000,0
302,move in,residence,nan,2013-02-01 00:00:00,0,0
303,move in,residence,all,2008-02-21 00:00:00,1350000000,0
303,move in,residence,nan,2006-05-08 00:00:00,0,0
303,move in,residence,nan,2016-06-16 00:00:00,0,0
305,move in,residence,402No.all,2007-01-03 00:00:00,100000000,0
309,move in,residence,all,2016-08-11 00:00:00,0,0
310,move in,residence,nan,2009-05-12 00:00:00,0,0
311,move in,residence,801No.,2014-03-19 00:00:00,500000000,0
312,move in,residence,all,2006-01-05 00:00:00,700000000,0
313,move in,residence,on ID102No.(midroom1),2016-06-13 00:00:00,100000000,0
313,move in,residence,on ID102No.,2013-09-04 00:00:00,0,0
316,move in,residence,all,2011-01-10 00:00:00,40000000,150000
318,move in,residence,nan,2016-01-18 00:00:00,0,0
319,move in,residence,all,2015-10-28 00:00:00,340000000,0
320,move in,residence,all,2015-11-26 00:00:00,780000000,0
323,move in,residence,nan,2011-07-01 00:00:00,0,0
324,move in,residence,nan,2008-06-11 00:00:00,0,0
328,move in,residence,nan,2012-01-30 00:00:00,0,0
328,move in,residence,nan,2005-02-25 00:00:00,0,0
333,move in,residence,all,2015-04-03 00:00:00,280000000,600000
334,move in,residence,808No.,2016-10-25 00:00:00,0,0
335,move in,residence,all,2009-12-31 00:00:00,135000000,0
336,move in,residence,room1,2013-08-09 00:00:00,50000000,0
336,move in,residence,nan,2013-08-08 00:00:00,0,0
337,move in,residence,all,2015-06-29 00:00:00,300000000,0
340,move in,residence,all,2008-02-27 00:00:00,50000000,0
341,move in,residence,nan,2015-04-09 00:00:00,0,0
344,move in,residence,nan,2009-10-21 00:00:00,0,0
344,move in,residence,nan,2010-09-24 00:00:00,0,0
346,move in,residence,all,2014-08-22 00:00:00,80000000,100000
347,move in,residence,all,2015-06-15 00:00:00,430000000,0
352,move in,residence,nan,2015-07-20 00:00:00,400000000,0
353,move in,residence,nan,2016-03-08 00:00:00,50000000,1900000
356,move in,residence,704No.,2015-02-09 00:00:00,0,0
359,move in,residence,nan,1997-04-16 00:00:00,0,0
360,move in,residence,room3,2013-03-20 00:00:00,520000000,0
361,move in,residence,nan,2010-02-01 00:00:00,0,0
361,move in,residence,all,2014-01-10 00:00:00,100000000,2400000
364,move in,residence,502No.,2015-06-30 00:00:00,0,0
364,move in,residence,502No.상floor6floor602No.,2015-04-08 00:00:00,350000000,0
364,move in,residence,502No.,2015-06-30 00:00:00,495000000,0
366,move in,residence,room3,2011-01-25 00:00:00,95000000,0
370,move in,residence,505No.room3,2015-02-23 00:00:00,527000000,0
371,move in,residence,nan,2013-03-05 00:00:00,0,0
374,move in,residence,nan,2015-02-25 00:00:00,0,0
374,move in,residence,all,2015-02-25 00:00:00,1300000000,0
379,occupation,residence,705No.,1111-11-11 00:00:00,0,0
379,move in,residence,all,2017-04-10 00:00:00,50000000,1400000
380,move in,residence,all,2014-05-12 00:00:00,820000000,0
381,move in,residence,all,2015-02-27 00:00:00,950000000,400000
384,move in,residence,nan,2003-03-12 00:00:00,0,0
391,move in,residence,nan,2010-02-18 00:00:00,0,0
392,move in,residence,all,2005-02-11 00:00:00,100000000,0
393,move in,residence,room2,2013-02-12 00:00:00,30000000,0
393,move in,residence,room1,2014-04-23 00:00:00,25000000,0
393,move in,residence,nan,2009-09-21 00:00:00,0,0
393,move in,residence,nan,1996-09-04 00:00:00,0,0
396,move in,residence,nan,2011-12-09 00:00:00,0,0
396,move in,residence,nan,2009-01-06 00:00:00,0,0
396,move in,residence,nan,2008-07-21 00:00:00,0,0
397,move in,residence,nan,2006-08-23 00:00:00,0,0
399,move in,residence,all,2011-10-21 00:00:00,40000000,0
400,move in,residence,nan,2002-01-09 00:00:00,0,0
402,move in,residence,102No.all,2002-08-02 00:00:00,0,0
403,move in,residence,all,2012-02-10 00:00:00,295000000,0
405,move in,residence,nan,1993-10-27 00:00:00,0,0
407,move in,residence,nan,2010-02-04 00:00:00,0,0
409,move in,residence,좌측room1,2014-08-06 00:00:00,60000000,0
409,move in,residence,nan,2014-08-05 00:00:00,0,0
410,move in,residence,107No.,2015-04-07 00:00:00,50000000,0
412,move in,residence,all,1992-10-14 00:00:00,85000000,0
415,move in,residence,part,2011-10-18 00:00:00,200000000,0
418,move in,residence,allroom1,2015-07-24 00:00:00,30000000,0
420,move in,residence,all,2013-06-05 00:00:00,230000000,0
423,move in,residence,all,2015-02-05 00:00:00,22000000,400000
425,move in,residence,room1,2014-12-31 00:00:00,70000000,0
426,move in,residence,nan,2009-09-24 00:00:00,0,0
430,move in,residence,all,2015-08-12 00:00:00,40000000,0
432,move in,residence,nan,2006-05-30 00:00:00,0,0
433,move in,residence,all,1994-10-13 00:00:00,100000000,0
433,move in,residence,all,2012-10-12 00:00:00,0,0
434,move in,residence,nan,2014-11-24 00:00:00,0,0
434,move in,residence,all,2016-03-16 00:00:00,100000000,0
435,occupation,residence,all,1111-11-11 00:00:00,0,0
436,move in,residence,all,2014-12-22 00:00:00,50000000,0
439,move in,residence,1003No.all,2009-09-23 00:00:00,320000000,0
440,move in,residence,all,2015-02-11 00:00:00,230000000,0
440,move in,residence,nan,2009-11-11 00:00:00,0,0
441,move in,residence,all,2013-02-28 00:00:00,230000000,0
443,move in,residence,all,2006-08-04 00:00:00,60000000,0
444,move in,residence,all,2013-03-11 00:00:00,320000000,0
445,move in,residence,room1,2012-05-18 00:00:00,70000000,0
445,move in,residence,nan,2012-08-22 00:00:00,0,0
445,move in,residence,nan,2015-06-09 00:00:00,0,0
446,move in,residence,all,2010-11-25 00:00:00,460000000,0
453,move in,residence,901No.room1,2015-05-14 00:00:00,200000000,0
454,move in,residence,nan,2007-05-28 00:00:00,0,0
455,move in,residence,all,2008-07-30 00:00:00,150000000,0
457,move in,residence,nan,2014-09-01 00:00:00,0,0
460,move in,residence,nan,2000-12-02 00:00:00,0,0
461,move in,residence,all,2011-01-10 00:00:00,250000000,0
462,move in,residence,nan,2001-11-17 00:00:00,0,0
465,move in,residence,nan,2015-09-08 00:00:00,0,0
467,move in,residence,nan,2015-03-24 00:00:00,0,0
468,move in,residence,401No.all,2015-07-24 00:00:00,0,0
468,move in,residence,nan,2014-02-11 00:00:00,0,0
474,move in,,nan,2012-03-07 00:00:00,25000000,0
476,move in,residence,nan,2004-10-18 00:00:00,0,0
477,move in,residence,nan,2001-05-02 00:00:00,0,0
478,move in,residence,room4,2012-08-17 00:00:00,230000000,0
483,move in,residence,all,2014-02-11 00:00:00,530000000,0
484,move in,residence,all,2013-04-16 00:00:00,220000000,0
485,move in,residence,all,2015-08-10 00:00:00,30000000,4000000
486,move in,residence,all,2013-08-13 00:00:00,170000000,0
488,move in,residence,all,2012-12-06 00:00:00,350000000,0
488,move in,residence,nan,2015-04-24 00:00:00,0,0
489,move in,residence,nan,2010-07-19 00:00:00,0,0
491,move in,residence,nan,2011-07-14 00:00:00,0,0
492,move in,residence,all,2005-11-03 00:00:00,0,0
493,move in,residence,all,2007-02-12 00:00:00,200000000,1000000
497,move in,residence,nan,2000-04-03 00:00:00,0,0
498,move in,residence,all,2002-11-20 00:00:00,0,0
500,move in,residence,room2,2015-06-12 00:00:00,350000000,0
500,move in,residence,room1,2015-08-31 00:00:00,0,0
501,move in,residence,all,2013-06-04 00:00:00,30000000,1000000
507,move in,residence,all,2012-07-10 00:00:00,300000000,0
507,move in,residence,all,2012-07-10 00:00:00,0,0
508,move in,residence,room1,2015-10-19 00:00:00,30000000,0
510,move in,residence,nan,2014-04-21 00:00:00,0,0
513,move in,residence,nan,2011-04-21 00:00:00,0,0
515,move in,residence,allroom4칸.of.room3,2013-10-07 00:00:00,500000000,0
518,move in,residence,all,2015-12-18 00:00:00,80000000,1000000
519,move in,residence,room1,2014-03-19 00:00:00,10000000,0
520,move in,residence,all,2014-12-11 00:00:00,320000000,0
521,move in,residence,nan,2016-01-21 00:00:00,0,0
521,move in,residence,902No.room4,2016-01-21 00:00:00,50000000,1700000
524,move in,residence,all,2011-01-12 00:00:00,270000000,0
528,move in,residence,all,2007-06-28 00:00:00,200000000,0
530,move in,residence,nan,2015-10-12 00:00:00,0,0
537,move in,residence,all,2014-10-07 00:00:00,400000000,0
538,move in,residence,nan,2004-05-27 00:00:00,0,0
539,move in,residence,nan,2008-06-12 00:00:00,0,0
541,occupation,,nan,1111-11-11 00:00:00,0,0
542,move in,residence,all,2007-02-02 00:00:00,290000000,0
543,occupation,residence,all,1111-11-11 00:00:00,20000000,900000
545,move in,residence,nan,2014-08-25 00:00:00,0,0
546,move in,residence,nan,2015-05-20 00:00:00,0,0
550,move in,residence,nan,2010-03-02 00:00:00,0,0
552,move in,residence,nan,2014-01-15 00:00:00,0,0
554,move in,residence,all,2007-06-28 00:00:00,820000000,0
555,move in,residence,all,1993-06-12 00:00:00,30000000,0
556,move in,residence,nan,2010-03-26 00:00:00,0,0
558,move in,residence,all,2015-01-19 00:00:00,260000000,0
560,move in,residence,all,2015-06-19 00:00:00,530000000,0
561,move in,residence,입구좌측큰room,2013-07-05 00:00:00,15000000,50000
563,move in,residence,nan,2006-12-11 00:00:00,0,0
563,move in,residence,all,2016-12-11 00:00:00,190000000,0
566,move in,residence,nan,2003-01-13 00:00:00,0,0
571,move in,residence,301No.(room2),2016-10-26 00:00:00,70000000,0
572,move in,residence,all,2011-07-19 00:00:00,290000000,260000
574,move in,residence,all,2015-08-13 00:00:00,330000000,0
575,move in,residence,nan,2014-02-19 00:00:00,0,0
575,move in,residence,all,2014-02-19 00:00:00,635000000,0
576,move in,residence,all,2013-05-03 00:00:00,180000000,0
576,move in,residence,nan,2013-05-03 00:00:00,0,0
576,move in,residence,nan,2016-11-03 00:00:00,0,0
