id,REG_YYMM,CARD_SIDO_NM,STD_CLSS_NM,AMT
0,202004,강원,건강보조식품 소매업,96059012.0
1,202004,강원,골프장 운영업,2915797995.0
2,202004,강원,과실 및 채소 소매업,994816943.0
3,202004,강원,관광 민예품 및 선물용품 소매업,13317300.0
4,202004,강원,그외 기타 분류안된 오락관련 서비스업,0.0
5,202004,강원,그외 기타 스포츠시설 운영업,2075000.0
6,202004,강원,그외 기타 종합 소매업,470200240.0
7,202004,강원,기타 대형 종합 소매업,6384110710.0
8,202004,강원,기타 수상오락 서비스업,261000.0
9,202004,강원,기타 외국식 음식점업,887636153.0
10,202004,강원,기타 주점업,250737400.0
11,202004,강원,기타음식료품위주종합소매업,8543165454.0
12,202004,강원,내항 여객 운송업,458000.0
13,202004,강원,마사지업,14461000.0
14,202004,강원,면세점,0.0
15,202004,강원,버스 운송업,0.0
16,202004,강원,비알콜 음료점업,902984583.0
17,202004,강원,빵 및 과자류 소매업,1143257530.0
18,202004,강원,서양식 음식점업,1728089290.0
19,202004,강원,수산물 소매업,517573130.0
20,202004,강원,슈퍼마켓,10697999602.0
21,202004,강원,스포츠 및 레크레이션 용품 임대업,2192114606.0
22,202004,강원,여관업,348418711.0
23,202004,강원,여행사업,77745150.0
24,202004,강원,욕탕업,150125300.0
25,202004,강원,육류 소매업,1791210193.0
26,202004,강원,일반유흥 주점업,966787830.0
27,202004,강원,일식 음식점업,1229888938.0
28,202004,강원,자동차 임대업,4607000.0
29,202004,강원,전시 및 행사 대행업,46249060.0
30,202004,강원,정기 항공 운송업,0.0
31,202004,강원,중식 음식점업,1317951278.0
32,202004,강원,차량용 가스 충전업,506599405.0
33,202004,강원,차량용 주유소 운영업,14951456819.0
34,202004,강원,체인화 편의점,8169183294.0
35,202004,강원,택시 운송업,0.0
36,202004,강원,피자 햄버거 샌드위치 및 유사 음식점업,1275528331.0
37,202004,강원,한식 음식점업,18063288995.0
38,202004,강원,호텔업,367560828.0
39,202004,강원,화장품 및 방향제 소매업,452924705.0
40,202004,강원,휴양콘도 운영업,559876015.0
41,202004,경기,건강보조식품 소매업,1284597187.0
42,202004,경기,골프장 운영업,14282870436.0
43,202004,경기,과실 및 채소 소매업,8114936000.0
44,202004,경기,관광 민예품 및 선물용품 소매업,88494950.0
45,202004,경기,그외 기타 분류안된 오락관련 서비스업,0.0
46,202004,경기,그외 기타 스포츠시설 운영업,7012700.0
47,202004,경기,그외 기타 종합 소매업,9593389882.0
48,202004,경기,기타 대형 종합 소매업,134833862231.0
49,202004,경기,기타 수상오락 서비스업,46137060.0
50,202004,경기,기타 외국식 음식점업,9087477050.0
51,202004,경기,기타 주점업,1174535264.0
52,202004,경기,기타음식료품위주종합소매업,21624337619.0
53,202004,경기,내항 여객 운송업,261500.0
54,202004,경기,마사지업,225027378.0
55,202004,경기,면세점,0.0
56,202004,경기,버스 운송업,2379330020.0
57,202004,경기,비알콜 음료점업,12218286138.0
58,202004,경기,빵 및 과자류 소매업,14820214723.0
59,202004,경기,서양식 음식점업,19332551424.0
60,202004,경기,수산물 소매업,4093272663.0
61,202004,경기,슈퍼마켓,143081115973.0
62,202004,경기,스포츠 및 레크레이션 용품 임대업,11219658475.0
63,202004,경기,여관업,3005834906.0
64,202004,경기,여행사업,7116465.0
65,202004,경기,욕탕업,1370201577.0
66,202004,경기,육류 소매업,19534218342.0
67,202004,경기,일반유흥 주점업,4887439444.0
68,202004,경기,일식 음식점업,8367268395.0
69,202004,경기,자동차 임대업,1525927647.0
70,202004,경기,전시 및 행사 대행업,902853970.0
71,202004,경기,정기 항공 운송업,0.0
72,202004,경기,중식 음식점업,14003505089.0
73,202004,경기,차량용 가스 충전업,3072431260.0
74,202004,경기,차량용 주유소 운영업,114977023144.0
75,202004,경기,체인화 편의점,94271865393.0
76,202004,경기,택시 운송업,121411640.0
77,202004,경기,피자 햄버거 샌드위치 및 유사 음식점업,16285816574.0
78,202004,경기,한식 음식점업,176620766398.0
79,202004,경기,호텔업,42998154.0
80,202004,경기,화장품 및 방향제 소매업,4229697273.0
81,202004,경기,휴양콘도 운영업,40504290.0
82,202004,경남,건강보조식품 소매업,310317998.0
83,202004,경남,골프장 운영업,4138688459.0
84,202004,경남,과실 및 채소 소매업,3006580259.0
85,202004,경남,관광 민예품 및 선물용품 소매업,77261600.0
86,202004,경남,그외 기타 분류안된 오락관련 서비스업,482700.0
87,202004,경남,그외 기타 스포츠시설 운영업,623000.0
88,202004,경남,그외 기타 종합 소매업,1121783980.0
89,202004,경남,기타 대형 종합 소매업,18482965833.0
90,202004,경남,기타 수상오락 서비스업,471500.0
91,202004,경남,기타 외국식 음식점업,1244326658.0
92,202004,경남,기타 주점업,529898998.0
93,202004,경남,기타음식료품위주종합소매업,12665969178.0
94,202004,경남,내항 여객 운송업,23096100.0
95,202004,경남,마사지업,24067000.0
96,202004,경남,면세점,0.0
97,202004,경남,버스 운송업,273300.0
98,202004,경남,비알콜 음료점업,2539300857.0
99,202004,경남,빵 및 과자류 소매업,3540351336.0
100,202004,경남,서양식 음식점업,3485278484.0
101,202004,경남,수산물 소매업,888405720.0
102,202004,경남,슈퍼마켓,29032410725.0
103,202004,경남,스포츠 및 레크레이션 용품 임대업,3112371595.0
104,202004,경남,여관업,733266283.0
105,202004,경남,여행사업,36000.0
106,202004,경남,욕탕업,789447037.0
107,202004,경남,육류 소매업,5506280536.0
108,202004,경남,일반유흥 주점업,3481971341.0
109,202004,경남,일식 음식점업,1819327172.0
110,202004,경남,자동차 임대업,0.0
111,202004,경남,전시 및 행사 대행업,32890950.0
112,202004,경남,정기 항공 운송업,0.0
113,202004,경남,중식 음식점업,2366173508.0
114,202004,경남,차량용 가스 충전업,1188167815.0
115,202004,경남,차량용 주유소 운영업,39587582972.0
116,202004,경남,체인화 편의점,19625737565.0
117,202004,경남,택시 운송업,9092710.0
118,202004,경남,피자 햄버거 샌드위치 및 유사 음식점업,3980305098.0
119,202004,경남,한식 음식점업,43785197942.0
120,202004,경남,호텔업,11071099.0
121,202004,경남,화장품 및 방향제 소매업,1246009621.0
122,202004,경남,휴양콘도 운영업,57685960.0
123,202004,경북,건강보조식품 소매업,162665465.0
124,202004,경북,골프장 운영업,3887446560.0
125,202004,경북,과실 및 채소 소매업,1920118953.0
126,202004,경북,관광 민예품 및 선물용품 소매업,38159020.0
127,202004,경북,그외 기타 분류안된 오락관련 서비스업,0.0
128,202004,경북,그외 기타 스포츠시설 운영업,457500.0
129,202004,경북,그외 기타 종합 소매업,556527100.0
130,202004,경북,기타 대형 종합 소매업,11819575635.0
131,202004,경북,기타 수상오락 서비스업,135000.0
132,202004,경북,기타 외국식 음식점업,589895721.0
133,202004,경북,기타 주점업,181997610.0
134,202004,경북,기타음식료품위주종합소매업,9069490514.0
135,202004,경북,내항 여객 운송업,0.0
136,202004,경북,마사지업,3985000.0
137,202004,경북,면세점,0.0
138,202004,경북,버스 운송업,0.0
139,202004,경북,비알콜 음료점업,1291808551.0
140,202004,경북,빵 및 과자류 소매업,2088171221.0
141,202004,경북,서양식 음식점업,1588582420.0
142,202004,경북,수산물 소매업,1022709023.0
143,202004,경북,슈퍼마켓,27027103433.0
144,202004,경북,스포츠 및 레크레이션 용품 임대업,2693266181.0
145,202004,경북,여관업,236323066.0
146,202004,경북,여행사업,171000.0
147,202004,경북,욕탕업,199825280.0
148,202004,경북,육류 소매업,5686448655.0
149,202004,경북,일반유흥 주점업,689230372.0
150,202004,경북,일식 음식점업,558752926.0
151,202004,경북,자동차 임대업,778000.0
152,202004,경북,전시 및 행사 대행업,15551540.0
153,202004,경북,정기 항공 운송업,0.0
154,202004,경북,중식 음식점업,1249869197.0
155,202004,경북,차량용 가스 충전업,1316851304.0
156,202004,경북,차량용 주유소 운영업,39853844388.0
157,202004,경북,체인화 편의점,12144541873.0
158,202004,경북,택시 운송업,404300.0
159,202004,경북,피자 햄버거 샌드위치 및 유사 음식점업,2185542090.0
160,202004,경북,한식 음식점업,21321209988.0
161,202004,경북,호텔업,32189695.0
162,202004,경북,화장품 및 방향제 소매업,704611893.0
163,202004,경북,휴양콘도 운영업,6826420.0
164,202004,광주,건강보조식품 소매업,264886267.0
165,202004,광주,골프장 운영업,200903800.0
166,202004,광주,과실 및 채소 소매업,2047228744.0
167,202004,광주,관광 민예품 및 선물용품 소매업,15383700.0
168,202004,광주,그외 기타 분류안된 오락관련 서비스업,0.0
169,202004,광주,그외 기타 스포츠시설 운영업,3855500.0
170,202004,광주,그외 기타 종합 소매업,1610985070.0
171,202004,광주,기타 대형 종합 소매업,7966792270.0
172,202004,광주,기타 수상오락 서비스업,0.0
173,202004,광주,기타 외국식 음식점업,714272588.0
174,202004,광주,기타 주점업,350229000.0
175,202004,광주,기타음식료품위주종합소매업,979289183.0
176,202004,광주,내항 여객 운송업,0.0
177,202004,광주,마사지업,59750077.0
178,202004,광주,면세점,0.0
179,202004,광주,버스 운송업,6269000.0
180,202004,광주,비알콜 음료점업,2016094083.0
181,202004,광주,빵 및 과자류 소매업,2274535220.0
182,202004,광주,서양식 음식점업,2802133536.0
183,202004,광주,수산물 소매업,1011822205.0
184,202004,광주,슈퍼마켓,23994695299.0
185,202004,광주,스포츠 및 레크레이션 용품 임대업,2858594774.0
186,202004,광주,여관업,392444216.0
187,202004,광주,여행사업,0.0
188,202004,광주,욕탕업,283752490.0
189,202004,광주,육류 소매업,3370364439.0
190,202004,광주,일반유흥 주점업,816139390.0
191,202004,광주,일식 음식점업,713470200.0
192,202004,광주,자동차 임대업,534000.0
193,202004,광주,전시 및 행사 대행업,5998300.0
194,202004,광주,정기 항공 운송업,0.0
195,202004,광주,중식 음식점업,1691052145.0
196,202004,광주,차량용 가스 충전업,854881594.0
197,202004,광주,차량용 주유소 운영업,15015224953.0
198,202004,광주,체인화 편의점,8670577125.0
199,202004,광주,택시 운송업,0.0
200,202004,광주,피자 햄버거 샌드위치 및 유사 음식점업,1931718994.0
201,202004,광주,한식 음식점업,24383782847.0
202,202004,광주,호텔업,23034412.0
203,202004,광주,화장품 및 방향제 소매업,929206625.0
204,202004,광주,휴양콘도 운영업,0.0
205,202004,대구,건강보조식품 소매업,232458341.0
206,202004,대구,골프장 운영업,124715010.0
207,202004,대구,과실 및 채소 소매업,3247185311.0
208,202004,대구,관광 민예품 및 선물용품 소매업,7100600.0
209,202004,대구,그외 기타 분류안된 오락관련 서비스업,0.0
210,202004,대구,그외 기타 스포츠시설 운영업,690000.0
211,202004,대구,그외 기타 종합 소매업,1429581910.0
212,202004,대구,기타 대형 종합 소매업,18577150550.0
213,202004,대구,기타 수상오락 서비스업,72000.0
214,202004,대구,기타 외국식 음식점업,636417220.0
215,202004,대구,기타 주점업,114456630.0
216,202004,대구,기타음식료품위주종합소매업,2261713692.0
217,202004,대구,내항 여객 운송업,0.0
218,202004,대구,마사지업,2194000.0
219,202004,대구,면세점,0.0
220,202004,대구,버스 운송업,0.0
221,202004,대구,비알콜 음료점업,2204509848.0
222,202004,대구,빵 및 과자류 소매업,3050703265.0
223,202004,대구,서양식 음식점업,2738244159.0
224,202004,대구,수산물 소매업,1338382585.0
225,202004,대구,슈퍼마켓,37564936246.0
226,202004,대구,스포츠 및 레크레이션 용품 임대업,2097655081.0
227,202004,대구,여관업,329178400.0
228,202004,대구,여행사업,0.0
229,202004,대구,욕탕업,103817500.0
230,202004,대구,육류 소매업,7851542912.0
231,202004,대구,일반유흥 주점업,282941576.0
232,202004,대구,일식 음식점업,937312650.0
233,202004,대구,자동차 임대업,185000.0
234,202004,대구,전시 및 행사 대행업,26491050.0
235,202004,대구,정기 항공 운송업,0.0
236,202004,대구,중식 음식점업,1764780053.0
237,202004,대구,차량용 가스 충전업,987128583.0
238,202004,대구,차량용 주유소 운영업,20375025466.0
239,202004,대구,체인화 편의점,13141961651.0
240,202004,대구,택시 운송업,2734898258.0
241,202004,대구,피자 햄버거 샌드위치 및 유사 음식점업,3192084059.0
242,202004,대구,한식 음식점업,23263366133.0
243,202004,대구,호텔업,15912800.0
244,202004,대구,화장품 및 방향제 소매업,1014803293.0
245,202004,대구,휴양콘도 운영업,0.0
246,202004,대전,건강보조식품 소매업,118641396.0
247,202004,대전,골프장 운영업,229080825.0
248,202004,대전,과실 및 채소 소매업,1099016730.0
249,202004,대전,관광 민예품 및 선물용품 소매업,8146050.0
250,202004,대전,그외 기타 분류안된 오락관련 서비스업,0.0
251,202004,대전,그외 기타 스포츠시설 운영업,222000.0
252,202004,대전,그외 기타 종합 소매업,1296548085.0
253,202004,대전,기타 대형 종합 소매업,7712168380.0
254,202004,대전,기타 수상오락 서비스업,94000.0
255,202004,대전,기타 외국식 음식점업,833528150.0
256,202004,대전,기타 주점업,79211000.0
257,202004,대전,기타음식료품위주종합소매업,1572891591.0
258,202004,대전,내항 여객 운송업,0.0
259,202004,대전,마사지업,9111800.0
260,202004,대전,면세점,0.0
261,202004,대전,버스 운송업,0.0
262,202004,대전,비알콜 음료점업,1053847763.0
263,202004,대전,빵 및 과자류 소매업,1658101870.0
264,202004,대전,서양식 음식점업,2021197842.0
265,202004,대전,수산물 소매업,863093528.0
266,202004,대전,슈퍼마켓,9983121759.0
267,202004,대전,스포츠 및 레크레이션 용품 임대업,826008364.0
268,202004,대전,여관업,224619715.0
269,202004,대전,여행사업,0.0
270,202004,대전,욕탕업,130539400.0
271,202004,대전,육류 소매업,2242235766.0
272,202004,대전,일반유흥 주점업,61794450.0
273,202004,대전,일식 음식점업,619064273.0
274,202004,대전,자동차 임대업,1276500.0
275,202004,대전,전시 및 행사 대행업,3995350.0
276,202004,대전,정기 항공 운송업,0.0
277,202004,대전,중식 음식점업,1226314292.0
278,202004,대전,차량용 가스 충전업,456848799.0
279,202004,대전,차량용 주유소 운영업,8610779351.0
280,202004,대전,체인화 편의점,6550797691.0
281,202004,대전,택시 운송업,0.0
282,202004,대전,피자 햄버거 샌드위치 및 유사 음식점업,1355709532.0
283,202004,대전,한식 음식점업,14397817028.0
284,202004,대전,호텔업,49190545.0
285,202004,대전,화장품 및 방향제 소매업,432027898.0
286,202004,대전,휴양콘도 운영업,0.0
287,202004,부산,건강보조식품 소매업,440314350.0
288,202004,부산,골프장 운영업,1291404360.0
289,202004,부산,과실 및 채소 소매업,3190271968.0
290,202004,부산,관광 민예품 및 선물용품 소매업,32117820.0
291,202004,부산,그외 기타 분류안된 오락관련 서비스업,0.0
292,202004,부산,그외 기타 스포츠시설 운영업,569500.0
293,202004,부산,그외 기타 종합 소매업,1679813150.0
294,202004,부산,기타 대형 종합 소매업,59335408645.0
295,202004,부산,기타 수상오락 서비스업,453900.0
296,202004,부산,기타 외국식 음식점업,1344973179.0
297,202004,부산,기타 주점업,1111571819.0
298,202004,부산,기타음식료품위주종합소매업,1348887694.0
299,202004,부산,내항 여객 운송업,0.0
300,202004,부산,마사지업,23545500.0
301,202004,부산,면세점,17943950.0
302,202004,부산,버스 운송업,291000.0
303,202004,부산,비알콜 음료점업,3408112220.0
304,202004,부산,빵 및 과자류 소매업,3959725656.0
305,202004,부산,서양식 음식점업,5612849639.0
306,202004,부산,수산물 소매업,731274913.0
307,202004,부산,슈퍼마켓,28988003911.0
308,202004,부산,스포츠 및 레크레이션 용품 임대업,3604042049.0
309,202004,부산,여관업,899786525.0
310,202004,부산,여행사업,7514000.0
311,202004,부산,욕탕업,808570383.0
312,202004,부산,육류 소매업,5665076218.0
313,202004,부산,일반유흥 주점업,2754129505.0
314,202004,부산,일식 음식점업,2244266593.0
315,202004,부산,자동차 임대업,773000.0
316,202004,부산,전시 및 행사 대행업,45235110.0
317,202004,부산,정기 항공 운송업,535483890.0
318,202004,부산,중식 음식점업,2650973825.0
319,202004,부산,차량용 가스 충전업,725962194.0
320,202004,부산,차량용 주유소 운영업,25910471865.0
321,202004,부산,체인화 편의점,21389444752.0
322,202004,부산,택시 운송업,2625768744.0
323,202004,부산,피자 햄버거 샌드위치 및 유사 음식점업,4706300617.0
324,202004,부산,한식 음식점업,45353022124.0
325,202004,부산,호텔업,417167297.0
326,202004,부산,화장품 및 방향제 소매업,1921419600.0
327,202004,부산,휴양콘도 운영업,121957200.0
328,202004,서울,건강보조식품 소매업,1178972099.0
329,202004,서울,골프장 운영업,364764050.0
330,202004,서울,과실 및 채소 소매업,8005379734.0
331,202004,서울,관광 민예품 및 선물용품 소매업,53586140.0
332,202004,서울,그외 기타 분류안된 오락관련 서비스업,0.0
333,202004,서울,그외 기타 스포츠시설 운영업,15888500.0
334,202004,서울,그외 기타 종합 소매업,40433017255.0
335,202004,서울,기타 대형 종합 소매업,85944403598.0
336,202004,서울,기타 수상오락 서비스업,3946900.0
337,202004,서울,기타 외국식 음식점업,7348439049.0
338,202004,서울,기타 주점업,1463780040.0
339,202004,서울,기타음식료품위주종합소매업,25422139867.0
340,202004,서울,내항 여객 운송업,1103089720.0
341,202004,서울,마사지업,144174546.0
342,202004,서울,면세점,35502010.0
343,202004,서울,버스 운송업,2798198940.0
344,202004,서울,비알콜 음료점업,26081176709.0
345,202004,서울,빵 및 과자류 소매업,14350083255.0
346,202004,서울,서양식 음식점업,33691383982.0
347,202004,서울,수산물 소매업,3342043120.0
348,202004,서울,슈퍼마켓,95523095194.0
349,202004,서울,스포츠 및 레크레이션 용품 임대업,13713309096.0
350,202004,서울,여관업,2293624372.0
351,202004,서울,여행사업,313930866.0
352,202004,서울,욕탕업,1368908045.0
353,202004,서울,육류 소매업,16014475439.0
354,202004,서울,일반유흥 주점업,2897164720.0
355,202004,서울,일식 음식점업,14155708402.0
356,202004,서울,자동차 임대업,144784043.0
357,202004,서울,전시 및 행사 대행업,164414858.0
358,202004,서울,정기 항공 운송업,2284378045.0
359,202004,서울,중식 음식점업,13327780001.0
360,202004,서울,차량용 가스 충전업,738081061.0
361,202004,서울,차량용 주유소 운영업,30213190867.0
362,202004,서울,체인화 편의점,81303456270.0
363,202004,서울,택시 운송업,78532125499.0
364,202004,서울,피자 햄버거 샌드위치 및 유사 음식점업,18715095314.0
365,202004,서울,한식 음식점업,147494192925.0
366,202004,서울,호텔업,3287206791.0
367,202004,서울,화장품 및 방향제 소매업,15531843111.0
368,202004,서울,휴양콘도 운영업,0.0
369,202004,세종,건강보조식품 소매업,9943350.0
370,202004,세종,골프장 운영업,189063330.0
371,202004,세종,과실 및 채소 소매업,407847029.0
372,202004,세종,관광 민예품 및 선물용품 소매업,0.0
373,202004,세종,그외 기타 분류안된 오락관련 서비스업,0.0
374,202004,세종,그외 기타 스포츠시설 운영업,0.0
375,202004,세종,그외 기타 종합 소매업,4839290.0
376,202004,세종,기타 대형 종합 소매업,1683372950.0
377,202004,세종,기타 수상오락 서비스업,0.0
378,202004,세종,기타 외국식 음식점업,104153042.0
379,202004,세종,기타 주점업,2925000.0
380,202004,세종,기타음식료품위주종합소매업,753677203.0
381,202004,세종,내항 여객 운송업,0.0
382,202004,세종,마사지업,1371000.0
383,202004,세종,면세점,0.0
384,202004,세종,버스 운송업,0.0
385,202004,세종,비알콜 음료점업,204012833.0
386,202004,세종,빵 및 과자류 소매업,300565508.0
387,202004,세종,서양식 음식점업,327977480.0
388,202004,세종,수산물 소매업,46397052.0
389,202004,세종,슈퍼마켓,1627816877.0
390,202004,세종,스포츠 및 레크레이션 용품 임대업,140274610.0
391,202004,세종,여관업,3110000.0
392,202004,세종,여행사업,0.0
393,202004,세종,욕탕업,19025100.0
394,202004,세종,육류 소매업,382817522.0
395,202004,세종,일반유흥 주점업,12071000.0
396,202004,세종,일식 음식점업,80777200.0
397,202004,세종,자동차 임대업,0.0
398,202004,세종,전시 및 행사 대행업,165000.0
399,202004,세종,정기 항공 운송업,0.0
400,202004,세종,중식 음식점업,265740650.0
401,202004,세종,차량용 가스 충전업,36974064.0
402,202004,세종,차량용 주유소 운영업,2225235023.0
403,202004,세종,체인화 편의점,1214865994.0
404,202004,세종,택시 운송업,0.0
405,202004,세종,피자 햄버거 샌드위치 및 유사 음식점업,287007375.0
406,202004,세종,한식 음식점업,2091144401.0
407,202004,세종,호텔업,0.0
408,202004,세종,화장품 및 방향제 소매업,48905505.0
409,202004,세종,휴양콘도 운영업,0.0
410,202004,울산,건강보조식품 소매업,90647941.0
411,202004,울산,골프장 운영업,512781100.0
412,202004,울산,과실 및 채소 소매업,811459199.0
413,202004,울산,관광 민예품 및 선물용품 소매업,2382500.0
414,202004,울산,그외 기타 분류안된 오락관련 서비스업,0.0
415,202004,울산,그외 기타 스포츠시설 운영업,219000.0
416,202004,울산,그외 기타 종합 소매업,2402422650.0
417,202004,울산,기타 대형 종합 소매업,6710403292.0
418,202004,울산,기타 수상오락 서비스업,0.0
419,202004,울산,기타 외국식 음식점업,426033907.0
420,202004,울산,기타 주점업,226986158.0
421,202004,울산,기타음식료품위주종합소매업,1657264340.0
422,202004,울산,내항 여객 운송업,0.0
423,202004,울산,마사지업,27534000.0
424,202004,울산,면세점,0.0
425,202004,울산,버스 운송업,547200.0
426,202004,울산,비알콜 음료점업,925538115.0
427,202004,울산,빵 및 과자류 소매업,1205972787.0
428,202004,울산,서양식 음식점업,1328989866.0
429,202004,울산,수산물 소매업,234311267.0
430,202004,울산,슈퍼마켓,11730084732.0
431,202004,울산,스포츠 및 레크레이션 용품 임대업,1025880597.0
432,202004,울산,여관업,250895154.0
433,202004,울산,여행사업,73500.0
434,202004,울산,욕탕업,275241708.0
435,202004,울산,육류 소매업,3371907188.0
436,202004,울산,일반유흥 주점업,907244303.0
437,202004,울산,일식 음식점업,423529921.0
438,202004,울산,자동차 임대업,217000.0
439,202004,울산,전시 및 행사 대행업,504700.0
440,202004,울산,정기 항공 운송업,0.0
441,202004,울산,중식 음식점업,828847705.0
442,202004,울산,차량용 가스 충전업,281703118.0
443,202004,울산,차량용 주유소 운영업,12070874634.0
444,202004,울산,체인화 편의점,6735203759.0
445,202004,울산,택시 운송업,0.0
446,202004,울산,피자 햄버거 샌드위치 및 유사 음식점업,1453012931.0
447,202004,울산,한식 음식점업,14259947274.0
448,202004,울산,호텔업,90036164.0
449,202004,울산,화장품 및 방향제 소매업,391557277.0
450,202004,울산,휴양콘도 운영업,0.0
451,202004,인천,건강보조식품 소매업,357351699.0
452,202004,인천,골프장 운영업,1647333440.0
453,202004,인천,과실 및 채소 소매업,2713749959.0
454,202004,인천,관광 민예품 및 선물용품 소매업,7604150.0
455,202004,인천,그외 기타 분류안된 오락관련 서비스업,0.0
456,202004,인천,그외 기타 스포츠시설 운영업,3241500.0
457,202004,인천,그외 기타 종합 소매업,105066540.0
458,202004,인천,기타 대형 종합 소매업,21690604730.0
459,202004,인천,기타 수상오락 서비스업,10874500.0
460,202004,인천,기타 외국식 음식점업,2178945666.0
461,202004,인천,기타 주점업,487515500.0
462,202004,인천,기타음식료품위주종합소매업,1484310057.0
463,202004,인천,내항 여객 운송업,115088500.0
464,202004,인천,마사지업,68066100.0
465,202004,인천,면세점,1289517252.0
466,202004,인천,버스 운송업,0.0
467,202004,인천,비알콜 음료점업,2644224780.0
468,202004,인천,빵 및 과자류 소매업,2883419150.0
